num,title,start_date,end_date,all_day,repeats,description,location_name,address,city,state,zip,event_link,notes
5,Chabad SP – Hebrew School,"September 13, 2026 10:00 AM","September 13, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
7,Chabad SP – CYP Dinner & Discussion,"September 15, 2026 07:00 PM","September 15, 2026 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
8,Chabad SP – Sukkot Under the Stars,"September 25, 2026 07:00 PM","September 25, 2026 09:00 PM",,,An evening celebration in the Sukkah under the open sky.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,No time was given in the email; assumed 7:00 PM evening start — please confirm.
9,Chabad SP – Hebrew School,"September 27, 2026 10:00 AM","September 27, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
12,Chabad SP – Simchat Torah Live,"October 3, 2026 07:00 PM","October 3, 2026 09:00 PM",,,"A lively Simchat Torah celebration with dancing, song, and community.",Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
13,Chabad SP – Hebrew School,"October 4, 2026 10:00 AM","October 4, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
14,Chabad SP – Hebrew School,"October 11, 2026 10:00 AM","October 11, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
16,Chabad SP – CYP Dinner & Discussion,"October 20, 2026 07:00 PM","October 20, 2026 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
17,Chabad SP – Grand Opening of the New Chabad Center for Jewish Life,"October 25, 2026 04:00 PM","October 25, 2026 06:00 PM",,,Grand opening celebration for the Chabad Center for Jewish Life.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
18,Chabad SP – JLI,"October 27, 2026 07:00 PM","October 27, 2026 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
20,Chabad SP – Hebrew School,"November 1, 2026 10:00 AM","November 1, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
21,Chabad SP – JLI,"November 3, 2026 07:00 PM","November 3, 2026 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
22,Chabad SP – JLI,"November 10, 2026 07:00 PM","November 10, 2026 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
25,Chabad SP – Hebrew School,"November 15, 2026 10:00 AM","November 15, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
26,Chabad SP – JLI,"November 17, 2026 07:00 PM","November 17, 2026 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
28,Chabad SP – Hebrew School,"November 22, 2026 10:00 AM","November 22, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
29,Chabad SP – CYP Dinner & Discussion,"November 23, 2026 07:00 PM","November 23, 2026 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
30,Chabad SP – JLI,"November 24, 2026 07:00 PM","November 24, 2026 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
31,Chabad SP – JLI,"December 1, 2026 07:00 PM","December 1, 2026 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
35,Chabad SP – Hebrew School,"December 6, 2026 10:00 AM","December 6, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
